age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
56,housemaid,married,basic.4y,no,no,telephone,may,mon,261,1,999,0,nonexistent,no
57,services,married,high.school,no,no,telephone,may,mon,149,1,999,0,nonexistent,no
37,services,married,high.school,yes,no,telephone,may,mon,226,1,999,0,nonexistent,no
40,admin.,married,basic.6y,no,no,telephone,may,mon,151,1,999,0,nonexistent,no
56,services,married,high.school,no,yes,telephone,may,mon,307,1,999,0,nonexistent,no
45,services,married,basic.9y,no,no,telephone,may,mon,198,1,999,0,nonexistent,no
59,admin.,married,professional.course,no,no,telephone,may,mon,139,1,999,0,nonexistent,no
24,technician,single,professional.course,yes,no,telephone,may,mon,380,1,999,0,nonexistent,no
25,services,single,high.school,yes,no,telephone,may,mon,50,1,999,0,nonexistent,no
25,services,single,high.school,yes,no,telephone,may,mon,222,1,999,0,nonexistent,no
29,blue-collar,single,high.school,no,yes,telephone,may,mon,137,1,999,0,nonexistent,no
57,housemaid,divorced,basic.4y,yes,no,telephone,may,mon,293,1,999,0,nonexistent,no
35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,146,1,999,0,nonexistent,no
54,retired,married,basic.9y,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,no
35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,312,1,999,0,nonexistent,no
46,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,no
50,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,no
39,management,single,basic.9y,no,no,telephone,may,mon,195,1,999,0,nonexistent,no
30,unemployed,married,high.school,no,no,telephone,may,mon,38,1,999,0,nonexistent,no
55,blue-collar,married,basic.4y,yes,no,telephone,may,mon,262,1,999,0,nonexistent,no
55,retired,single,high.school,yes,no,telephone,may,mon,342,1,999,0,nonexistent,no
41,technician,single,high.school,yes,no,telephone,may,mon,181,1,999,0,nonexistent,no
37,admin.,married,high.school,yes,no,telephone,may,mon,172,1,999,0,nonexistent,no
35,technician,married,university.degree,no,yes,telephone,may,mon,99,1,999,0,nonexistent,no
39,self-employed,married,basic.9y,no,no,telephone,may,mon,233,1,999,0,nonexistent,no
54,technician,single,university.degree,no,no,telephone,may,mon,255,2,999,0,nonexistent,no
54,management,married,basic.4y,yes,no,telephone,may,mon,230,1,999,0,nonexistent,no
54,blue-collar,divorced,basic.4y,no,no,telephone,may,mon,208,1,999,0,nonexistent,no
34,services,married,high.school,no,no,telephone,may,mon,365,1,999,0,nonexistent,no
52,technician,married,basic.9y,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,no
41,admin.,married,university.degree,yes,no,telephone,may,mon,577,1,999,0,nonexistent,no
56,technician,married,basic.4y,yes,no,telephone,may,mon,137,1,999,0,nonexistent,no
32,entrepreneur,married,high.school,yes,no,telephone,may,mon,314,1,999,0,nonexistent,no
38,admin.,single,professional.course,no,no,telephone,may,mon,160,1,999,0,nonexistent,no
57,admin.,married,university.degree,no,yes,telephone,may,mon,212,1,999,0,nonexistent,no
44,admin.,married,university.degree,yes,no,telephone,may,mon,188,1,999,0,nonexistent,no
42,technician,single,professional.course,no,no,telephone,may,mon,22,1,999,0,nonexistent,no
57,admin.,married,university.degree,yes,yes,telephone,may,mon,616,1,999,0,nonexistent,no
40,blue-collar,married,basic.9y,no,yes,telephone,may,mon,178,1,999,0,nonexistent,no
35,admin.,married,university.degree,yes,no,telephone,may,mon,355,1,999,0,nonexistent,no
45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,225,2,999,0,nonexistent,no
54,admin.,married,high.school,no,no,telephone,may,mon,160,1,999,0,nonexistent,no
39,housemaid,married,basic.4y,no,yes,telephone,may,mon,266,1,999,0,nonexistent,no
60,admin.,married,high.school,no,no,telephone,may,mon,253,1,999,0,nonexistent,no
53,admin.,single,professional.course,no,no,telephone,may,mon,179,1,999,0,nonexistent,no
55,blue-collar,married,basic.4y,no,no,telephone,may,mon,269,2,999,0,nonexistent,no
55,technician,married,professional.course,yes,no,telephone,may,mon,135,1,999,0,nonexistent,no
50,management,married,university.degree,no,yes,telephone,may,mon,161,1,999,0,nonexistent,no
45,services,married,high.school,yes,no,telephone,may,mon,787,1,999,0,nonexistent,no
55,unemployed,married,professional.course,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,no
25,technician,single,university.degree,yes,no,telephone,may,mon,174,1,999,0,nonexistent,no
47,entrepreneur,married,university.degree,no,no,telephone,may,mon,449,1,999,0,nonexistent,no
51,blue-collar,married,basic.9y,yes,no,telephone,may,mon,812,1,999,0,nonexistent,no
42,blue-collar,married,basic.6y,yes,no,telephone,may,mon,164,1,999,0,nonexistent,no
42,blue-collar,married,basic.6y,no,no,telephone,may,mon,366,1,999,0,nonexistent,no
48,admin.,married,high.school,no,no,telephone,may,mon,357,1,999,0,nonexistent,no
37,admin.,married,university.degree,no,no,telephone,may,mon,232,1,999,0,nonexistent,no
44,blue-collar,single,basic.9y,yes,no,telephone,may,mon,91,1,999,0,nonexistent,no
56,admin.,married,basic.9y,yes,no,telephone,may,mon,158,2,999,0,nonexistent,no
44,blue-collar,single,basic.4y,yes,yes,telephone,may,mon,177,1,999,0,nonexistent,no
41,management,married,basic.6y,no,no,telephone,may,mon,200,1,999,0,nonexistent,no
44,management,divorced,university.degree,yes,no,telephone,may,mon,172,1,999,0,nonexistent,no
